Area,BHK,Bathroom,Furnishing,Parking,Price,Transaction,Type,Price Per_Sqft
1575,3,3,Semi-Furnished,1,25500000,New_Property,Builder_Floor,9259
1675,3,3,Semi-Furnished,2,31000000,New_Property,Builder_Floor,18507
1350,3,3,Semi-Furnished,2,22000000,Resale,Builder_Floor,18507
900,2,2,Semi-Furnished,2,13400000,New_Property,Builder_Floor,18507
1800,3,3,Semi-Furnished,2,35000000,New_Property,Builder_Floor,18507
900,2,2,Furnished,2,11000000,Resale,Builder_Floor,18507
900,2,2,Unfurnished,2,6300000,Resale,Builder_Floor,7000
900,2,2,Furnished,2,12500000,Resale,Builder_Floor,7000
800,2,2,Unfurnished,1,14500000,New_Property,Builder_Floor,7000
1100,2,3,Semi-Furnished,1,22500000,New_Property,Builder_Floor,7000
810,2,2,Semi-Furnished,1,15500000,New_Property,Builder_Floor,7000
1500,3,3,Semi-Furnished,1,26000000,New_Property,Builder_Floor,7000
900,2,2,Semi-Furnished,1,15800000,New_Property,Builder_Floor,7000
825,2,2,Unfurnished,1,15000000,New_Property,Builder_Floor,7000
900,2,2,Unfurnished,1,13000000,New_Property,Builder_Floor,7000
875,2,2,Unfurnished,1,15000000,New_Property,Builder_Floor,7000
1350,3,3,Semi-Furnished,1,25000000,New_Property,Builder_Floor,7000
750,2,2,Semi-Furnished,1,16500000,New_Property,Builder_Floor,7000
900,2,2,Unfurnished,1,10300000,New_Property,Builder_Floor,7000
1350,3,3,Semi-Furnished,1,26000000,New_Property,Builder_Floor,7000
900,2,2,Unfurnished,1,11000000,Resale,Builder_Floor,7000
1800,3,3,Unfurnished,1,28500000,New_Property,Builder_Floor,7000
900,2,2,Unfurnished,1,11000000,Resale,Builder_Floor,7000
900,2,1,Furnished,1,11000000,Resale,Apartment,
810,3,2,Semi-Furnished,1,4500000,Resale,Builder_Floor,
450,2,1,Unfurnished,1,3600000,Resale,Builder_Floor,72000
100,3,2,Furnished,1,4300000,New_Property,Builder_Floor,43000
900,3,2,Semi-Furnished,1,4000000,Resale,Builder_Floor,4444
500,2,2,Semi-Furnished,1,1650000,Resale,Apartment,3300
450,1,1,Furnished,1,2000000,Resale,Builder_Floor,4444
75,2,2,Semi-Furnished,1,3000000,Resale,Builder_Floor,40000
270,2,1,Semi-Furnished,1,1400000,Resale,Apartment,5185
500,2,1,Semi-Furnished,1,2000000,Resale,Builder_Floor,4000
444,2,2,Unfurnished,1,2000000,Resale,Apartment,4000
400,1,1,Furnished,1,2000000,Resale,Builder_Floor,4000
729,3,4,Furnished,1,2600000,Resale,Builder_Floor,3567
4050,6,3,Furnished,1,5100000,Resale,Builder_Floor,1259
2400,6,4,Furnished,1,6000000,Resale,Builder_Floor,2500
450,2,2,Furnished,1,4000000,Resale,Builder_Floor,2500
405,2,3,Furnished,1,6200000,Resale,Builder_Floor,2500
666,1,2,Furnished,1,3500000,Resale,Builder_Floor,5255
1000,2,2,Semi-Furnished,1,7600000,Resale,Apartment,5255
1360,4,3,Semi-Furnished,1,13500000,New_Property,Builder_Floor,5255
1550,4,3,Semi-Furnished,1,12500000,New_Property,Builder_Floor,5255
850,3,2,Semi-Furnished,1,6500000,New_Property,Builder_Floor,5255
2170,4,4,Unfurnished,2,22000000,New_Property,Builder_Floor,5255
720,3,2,Semi-Furnished,1,6000000,New_Property,Builder_Floor,5255
850,3,2,Semi-Furnished,1,7300000,New_Property,Builder_Floor,5255
950,3,2,Semi-Furnished,1,7600000,New_Property,Builder_Floor,5255
2300,4,4,Semi-Furnished,1,20000000,New_Property,Builder_Floor,5255
1300,4,4,Semi-Furnished,1,15000000,New_Property,Builder_Floor,5255
1100,3,2,Semi-Furnished,1,6200000,New_Property,Builder_Floor,5255
1030,3,2,Furnished,1,6200000,New_Property,Builder_Floor,5255
350,1,1,Semi-Furnished,1,2300000,New_Property,Builder_Floor,
750,2,2,Semi-Furnished,1,5000000,New_Property,Apartment,6667
720,2,2,Semi-Furnished,1,4700000,New_Property,Apartment,6528
800,2,2,Semi-Furnished,1,5500000,New_Property,Apartment,6875
350,1,1,Semi-Furnished,1,2000000,New_Property,Apartment,5714
980,3,2,Semi-Furnished,1,7300000,New_Property,Apartment,7449
1600,4,3,Semi-Furnished,1,13000000,New_Property,Apartment,8125
1450,3,3,Semi-Furnished,1,11500000,New_Property,Apartment,7931
445,2,2,Semi-Furnished,1,2800000,New_Property,Apartment,7931
380,1,1,Semi-Furnished,1,2200000,New_Property,Apartment,5789
680,2,2,Semi-Furnished,1,4400000,New_Property,Apartment,6471
1600,3,3,Semi-Furnished,1,13500000,New_Property,Apartment,8438
630,2,2,Semi-Furnished,1,4100000,New_Property,Apartment,6508
1500,3,2,Semi-Furnished,1,12000000,New_Property,Apartment,8000
550,2,2,Semi-Furnished,1,3500000,New_Property,Apartment,6364
2500,4,3,Semi-Furnished,1,15000000,New_Property,Apartment,6000
2800,5,4,Semi-Furnished,1,17500000,New_Property,Apartment,6250
300,1,1,Semi-Furnished,1,1900000,New_Property,Apartment,6333
800,3,2,Semi-Furnished,1,5500000,New_Property,Apartment,6875
1295,3,2,Semi-Furnished,1,10000000,New_Property,Apartment,6875
700,3,2,Semi-Furnished,1,4700000,New_Property,Apartment,6714
350,1,1,Semi-Furnished,1,2400000,New_Property,Builder_Floor,6714
450,2,2,Semi-Furnished,1,3800000,New_Property,Builder_Floor,6714
2200,4,4,Semi-Furnished,1,23000000,New_Property,Builder_Floor,6714
2300,4,4,Semi-Furnished,1,24500000,New_Property,Builder_Floor,6714
1150,3,2,Semi-Furnished,1,10000000,New_Property,Builder_Floor,6714
800,3,2,Semi-Furnished,1,5500000,New_Property,Builder_Floor,6714
850,3,2,Semi-Furnished,1,7000000,New_Property,Builder_Floor,6714
720,3,2,Semi-Furnished,1,6500000,New_Property,Builder_Floor,6714
4688,5,4,Unfurnished,1,135000000,New_Property,Apartment,28797
750,2,2,Semi-Furnished,1,5000000,New_Property,Apartment,6667
3901,4,4,Unfurnished,1,93000000,New_Property,Apartment,23840
950,3,2,Furnished,1,4370000,New_Property,Apartment,4600
1000,3,2,Unfurnished,1,4620000,New_Property,Apartment,4620
850,2,1,Semi-Furnished,1,1900000,New_Property,Apartment,2235
2400,4,4,Semi-Furnished,1,70000000,New_Property,Apartment,2235
1350,3,2,Unfurnished,1,5130000,New_Property,Apartment,3800
540,2,2,Semi-Furnished,1,3000000,New_Property,Apartment,5000
1387,4,4,Unfurnished,1,5890000,New_Property,Apartment,4247
540,2,2,Semi-Furnished,1,3300000,New_Property,Apartment,6111
